_id,batch_id,blockchain_hash,blockchain_time,collected_time,cond,device,ph,predicted_time,real_anomaly,real_class,temp,turb
6a3a0a7b260514f6dd969a89,ECODOBEM-00000000141,502c4c3d68d19ccad162279944f08e1cbd6e169c6e2dcb39bddad783afd3589e,2026-06-23T12:24:27.869419,2026-6-23T12:24:26.000000,89.4,esp32-s3,7.1,2026-06-23T12:24:27.620742,0,1,30.4,0
6a3a0ab6260514f6dd969a8b,ECODOBEM-00000000142,beb8f504130fd2f5e90796dcfebf5a8f46e60a8c3590201146ff0fce067acde6,2026-06-23T12:25:25.930409,2026-6-23T12:25:24.000000,88.1,esp32-s3,7.1,2026-06-23T12:25:25.658785,0,1,30.5,0
6a3a0af0260514f6dd969a8d,ECODOBEM-00000000143,f745e43e63f6fc32c1bc2a0955a9b9e8d3fce92c61931453a63fcea1f19a4825,2026-06-23T12:26:23.911511,2026-6-23T12:26:22.000000,86.8,esp32-s3,7.2,2026-06-23T12:26:23.670637,0,1,30.5,0
6a3a0b29260514f6dd969a8f,ECODOBEM-00000000144,49a67503dd98729b15def24a6d9c54f1c242bea10d2060841533b8e1043d82d5,2026-06-23T12:27:21.848974,2026-6-23T12:27:20.000000,85.4,esp32-s3,7.2,2026-06-23T12:27:21.604463,0,1,30.5,0
6a3a0b63260514f6dd969a91,ECODOBEM-00000000145,7bda43c881db0e3f8fc90f90152c256d9fd2dd7659e7a2db35ec6134a9941c0d,2026-06-23T12:28:19.808066,2026-6-23T12:28:18.000000,84,esp32-s3,7.2,2026-06-23T12:28:19.571745,0,1,30.5,0
6a3a0b9d260514f6dd969a93,ECODOBEM-00000000146,5acacbc44431240b4097490813aaef40e225d23b2f043947834b72557c6c698d,2026-06-23T12:29:17.767001,2026-6-23T12:29:16.000000,84.3,esp32-s3,7.2,2026-06-23T12:29:17.531924,0,1,30.5,0
6a3a0bd7260514f6dd969a95,ECODOBEM-00000000147,88ebaca4aa2e2e745cb8e74b0c857ecce5fe3bd0348cc0e21100ad7eeaa2a674,2026-06-23T12:30:15.726500,2026-6-23T12:30:14.000000,82.8,esp32-s3,7.2,2026-06-23T12:30:15.458998,0,1,30.5,0
6a3a0c11260514f6dd969a97,ECODOBEM-00000000148,96959ad9ff6921288ddd1b5a90190db091955a1a31a0b43dd1c72c833954d1e0,2026-06-23T12:31:13.699315,2026-6-23T12:31:12.000000,1356.2,esp32-s3,4.5,2026-06-23T12:31:13.368875,1,5,30.2,0
6a3a0c4b260514f6dd969a99,ECODOBEM-00000000149,5d9a59516930f34cecad80eec40a2e5033b18e486020681f2830c62e8bb064e3,2026-06-23T12:32:11.530570,2026-6-23T12:32:09.000000,1353.1,esp32-s3,4.4,2026-06-23T12:32:11.296064,1,5,30.2,69.2
6a3a0c85260514f6dd969a9b,ECODOBEM-00000000150,20f27dab98968e21aa3bd84b7e2b7170ef2fb75708455412d7fd635444fda25a,2026-06-23T12:33:09.489045,2026-6-23T12:33:07.000000,1351.8,esp32-s3,4.3,2026-06-23T12:33:09.252383,1,5,30.3,290.4
6a3a0cbf260514f6dd969a9d,ECODOBEM-00000000151,2e81d7a1dac0a006dacfabe384040fa41b11f580c4988f3f363b034c3bdcca18,2026-06-23T12:34:07.642773,2026-6-23T12:34:05.000000,1347.7,esp32-s3,4.3,2026-06-23T12:34:07.409406,1,5,30.4,162.8
6a3a0cf9260514f6dd969a9f,ECODOBEM-00000000152,cbfbbb4ae352f05665e53a87f3870533782091fcce4cc30f9773178d050f945f,2026-06-23T12:35:05.574476,2026-6-23T12:35:03.000000,1333.7,esp32-s3,4.1,2026-06-23T12:35:05.352407,1,5,30.4,107.2
6a3a0d33260514f6dd969aa1,ECODOBEM-00000000153,b520a34c2f5470e90726be4087570ca625ddaa8d88cf251bf088d0e4357d258a,2026-06-23T12:36:03.551118,2026-6-23T12:36:01.000000,1322,esp32-s3,4,2026-06-23T12:36:03.277925,1,5,30.5,74.3
6a3a0d6d260514f6dd969aa3,ECODOBEM-00000000154,3906d248001183c66bfed291d59bd34c4c60b6fe5bae52215865b32840e734c9,2026-06-23T12:37:01.485946,2026-6-23T12:36:59.000000,1322.2,esp32-s3,4.1,2026-06-23T12:37:01.261168,1,5,30.6,57.1
6a3a0da7260514f6dd969aa5,ECODOBEM-00000000155,7fd594533af35a7845cfa85bb696fb8736efe8ca36ed747c0208cbc2e5e3eb32,2026-06-23T12:37:59.461337,2026-6-23T12:37:57.000000,1322.6,esp32-s3,4.1,2026-06-23T12:37:59.193686,1,5,30.6,38.3
6a3a0de2260514f6dd969aa7,ECODOBEM-00000000156,726ba12a2045fd85eeb9a66334a93452ba9bbbbb2259010a2e430231334d9ba3,2026-06-23T12:38:58.236340,2026-6-23T12:38:56.000000,1318.6,esp32-s3,4.1,2026-06-23T12:38:57.977353,1,5,30.7,49.2
6a3a0e1c260514f6dd969aa9,ECODOBEM-00000000157,c51c652bd4c5aba72754c800becd053c434ac7988885685d14e5c6bde0d2efbb,2026-06-23T12:39:56.192484,2026-6-23T12:39:54.000000,1317.9,esp32-s3,4.1,2026-06-23T12:39:55.889628,1,5,30.7,51.4
6a3a0e55260514f6dd969aab,ECODOBEM-00000000158,9b27b327b67df102ea779cbc4fd338e051305294752705b7e53714139ab0454b,2026-06-23T12:40:53.792296,2026-6-23T12:40:52.000000,1316.5,esp32-s3,4.1,2026-06-23T12:40:53.581999,1,5,30.8,50.3
6a3a0e8f260514f6dd969aad,ECODOBEM-00000000159,d4140d7f42c14c5f2a6dd2cf939e7730b19c0180cf7c70d1ff7c9061f927fed7,2026-06-23T12:41:51.602455,2026-6-23T12:41:50.000000,1319.3,esp32-s3,4.2,2026-06-23T12:41:51.388260,1,5,30.8,59.7
6a3a0ec9260514f6dd969aaf,ECODOBEM-00000000160,a093ac5e637cd2e0dc913ac8204bcbe71a40cd3be741a0e69e1ac0ea6228fec3,2026-06-23T12:42:49.447440,2026-6-23T12:42:47.000000,1317.7,esp32-s3,4.2,2026-06-23T12:42:49.125609,1,5,30.8,53.4
6a3a0f03260514f6dd969ab1,ECODOBEM-00000000161,15276f81a722b1b43e89a22758de6085c596f14e893761bc0fc779d3d11b59d7,2026-06-23T12:43:47.301524,2026-6-23T12:43:45.000000,1316.8,esp32-s3,4.2,2026-06-23T12:43:47.004575,1,5,30.8,66.8
6a3a0f3d260514f6dd969ab3,ECODOBEM-00000000162,ad642479476c25935115256c649dc193e9828719167fc4ca21454471f9943db6,2026-06-23T12:44:45.053450,2026-6-23T12:44:43.000000,1317.3,esp32-s3,4.2,2026-06-23T12:44:44.782684,1,5,30.9,65.8
6a3a0f77260514f6dd969ab5,ECODOBEM-00000000163,a1423364fb459d998ea0ddfe1ff7a6c2d37298db0b76287f7d1fcc6c5342a7dc,2026-06-23T12:45:42.911993,2026-6-23T12:45:41.000000,1319.3,esp32-s3,4.3,2026-06-23T12:45:42.669985,1,5,30.9,63.3
6a3a0fb0260514f6dd969ab7,ECODOBEM-00000000164,3a9b30df4a26c91320ff98b2d73626adf1b84bba5181ac537c024e643d0a05ab,2026-06-23T12:46:40.629969,2026-6-23T12:46:39.000000,1318.6,esp32-s3,4.3,2026-06-23T12:46:40.419047,1,5,30.9,73.1
6a3a0fea260514f6dd969ab9,ECODOBEM-00000000165,0e0261c4166d6b77dd3745bbbfb7b3a7145fc25f97623ed8a4dfbe5be0913bbd,2026-06-23T12:47:38.617876,2026-6-23T12:47:36.000000,1319.2,esp32-s3,4.3,2026-06-23T12:47:38.326302,1,5,30.9,73.9
6a3a1024260514f6dd969abb,ECODOBEM-00000000166,4061cee42fdf4f7b289b31a0c8f5b7847ef813f3c6bc54a8b49b3c87a6b93e8b,2026-06-23T12:48:36.371503,2026-6-23T12:48:34.000000,1329,esp32-s3,4.4,2026-06-23T12:48:36.065143,1,5,31,61.5
6a3a105e260514f6dd969abd,ECODOBEM-00000000167,1e98e323d374d4e8b1280a9cc7b8c7eb047534a11042cefaa88f4b43efd992e8,2026-06-23T12:49:34.124030,2026-6-23T12:49:32.000000,1326.3,esp32-s3,4.4,2026-06-23T12:49:33.894027,1,5,31,50.3
6a3a1098260514f6dd969abf,ECODOBEM-00000000168,888ad7c9a981bc0301c05e4a735fb669620c920fce199b65986bebe0a64ec5b2,2026-06-23T12:50:31.984577,2026-6-23T12:50:30.000000,1330,esp32-s3,4.5,2026-06-23T12:50:31.651180,1,5,31,56.4
6a3a10d1260514f6dd969ac1,ECODOBEM-00000000169,6bfbb3a1b0c3ce4f83822b31fd0ddf1a257061cf134406a4d53cbd674e16e324,2026-06-23T12:51:29.855015,2026-6-23T12:51:28.000000,1331.3,esp32-s3,4.6,2026-06-23T12:51:29.541412,1,5,31,41.4
6a3a110b260514f6dd969ac3,ECODOBEM-00000000170,ee42756a4dd5c8afd201743833fa63d8b3a7de8fc90d41c95cb1649421d800b3,2026-06-23T12:52:27.604436,2026-6-23T12:52:25.000000,1333.5,esp32-s3,4.6,2026-06-23T12:52:27.267787,1,5,31.1,37.2
6a3a1145260514f6dd969ac5,ECODOBEM-00000000171,0ae3b10bc497df45f8d7c45fe899138608edb0d1be85b602b4a32bd64a05cc55,2026-06-23T12:53:25.543814,2026-6-23T12:53:23.000000,1330.9,esp32-s3,4.6,2026-06-23T12:53:25.286725,1,5,31.1,28.8
6a3a117f260514f6dd969ac7,ECODOBEM-00000000172,4383433c9bf8aa102751268b0b2b5148af7b8ef814f5c88070ee15ee44f39324,2026-06-23T12:54:23.211885,2026-6-23T12:54:21.000000,1328.2,esp32-s3,4.5,2026-06-23T12:54:22.940811,1,5,31.1,36.4
6a3a11b9260514f6dd969ac9,ECODOBEM-00000000173,ec44d61a2621a159c953bef630054b22f2c438456d43d9c2b73ef63afddae165,2026-06-23T12:55:21.172653,2026-6-23T12:55:19.000000,1325.8,esp32-s3,4.5,2026-06-23T12:55:20.836649,1,5,31.1,37.9
6a3a11f3260514f6dd969acb,ECODOBEM-00000000174,f22bb484427c8f3e81e449855e05dedb02532429fa1a3492e228f1d86b5b5b6a,2026-06-23T12:56:18.916533,2026-6-23T12:56:17.000000,1324.8,esp32-s3,4.5,2026-06-23T12:56:18.654139,1,5,31.1,31.7
6a3a122c260514f6dd969acd,ECODOBEM-00000000175,f15eacbf9df29d4c422bffd6b3a143fa087559bd55481821e0ada4477ea835e3,2026-06-23T12:57:16.760643,2026-6-23T12:57:15.000000,1323.6,esp32-s3,4.5,2026-06-23T12:57:16.514034,1,5,31.1,32
